snapshot_ts,StationCode,StationName,UnitName,LocationDescription,SymptomDescription,DateOutOfServ,EstimatedReturnToService
"2026-05-03T23:17:45Z","C07","Pentagon","C07N11","Escalator between upper and lower platforms","Minor Repair","2026-04-30T09:44:00","2026-05-02T23:59:59"
"2026-05-03T23:17:45Z","C08","Pentagon City","C08X03","Escalator between street and mezzanine on east side of Hayes street, at Pentagon Centre","Service Call","2026-05-03T17:37:00","2026-05-05T23:59:59"
"2026-05-03T23:17:45Z","D02","Smithsonian, The Mall Entrance","D02N04","Escalator between mezzanine and platform to Vienna/Franconia-Springfield","Walker","2026-05-03T11:45:00","2026-05-05T23:59:59"
"2026-05-03T23:17:45Z","D02","Smithsonian, The Mall Entrance","D02N05","Escalator between mezzanine and platform to Vienna/Franconia-Springfield","Minor Repair","2026-05-01T06:40:00","2026-05-03T23:59:59"
"2026-05-03T23:17:45Z","D03","L'Enfant Plaza, 7th & D St (USDOT Entrance)","D03E06","Escalator between mezzanine and platform to Blue/Orange Line (escalator closer to station entrance)","Major Repair","2026-04-27T03:44:00","2026-05-01T23:59:59"
"2026-05-03T23:17:45Z","D03","L'Enfant Plaza, 9th & D St  (L'Enfant Plaza Entrance)","D03W01","Escalator between street and mezzanine","Modernization","2026-03-02T01:06:00","2026-07-27T23:59:59"
"2026-05-03T23:17:45Z","D08","Stadium-Armory, Stadium and Armory Entrance","D08N05","Escalator between mezzanine and platform","Service Call","2026-05-03T19:03:00","2026-05-05T23:59:59"
"2026-05-03T23:17:45Z","D12","Landover","D12X02","Escalator between mezzanine and platform","Major Repair","2026-04-29T04:11:00","2026-05-01T23:59:59"
"2026-05-03T23:17:45Z","E02","Shaw-Howard U, 7th and S St. N.W. Entrance","E02N03","Escalator between mezzanine and platform","Major Repair","2026-04-28T15:16:00","2026-05-04T23:59:59"
"2026-05-03T23:17:45Z","E05","Georgia Ave-Petworth","E05X04","Escalator between street and mezzanine, west side at New Hampshire & Georgia Ave.","Inspection Repair","2026-04-30T14:26:00","2026-05-07T23:59:59"
"2026-05-03T23:17:45Z","E07","West Hyattsville","E07X02","Escalator between mezzanine and platform to Greenbelt","Major Repair","2026-02-20T13:47:00","2026-06-28T23:59:59"
"2026-05-03T23:17:45Z","F01","Gallery Pl-Chinatown, 7th and H Street/Chinatown Entrance","F01N02","Escalator between street and middle landing","Major Repair","2026-05-02T09:34:00","2026-05-04T23:59:59"
"2026-05-03T23:17:45Z","F05","Navy Yard-Ballpark, Half Street Entrance","F05W02","Escalator between street and mezzanine","Service Call","2026-05-03T18:59:00","2026-05-05T23:59:59"
"2026-05-03T23:17:45Z","G05","Largo Town Center","G05X02","Escalator between mezzanine and platform","Minor Repair","2026-05-01T13:13:00","2026-05-03T23:59:59"
"2026-05-03T23:17:45Z","G05","Largo Town Center","G05X03","Escalator between mezzanine and platform","Inspection Repair","2026-04-21T11:38:00","2026-05-04T23:59:59"
"2026-05-03T23:17:45Z","K04","Ballston-MU","K04X05","Escalator between middle landing and mezzanine","Other","2026-04-23T11:38:00","2026-05-04T23:59:59"
"2026-05-03T23:17:45Z","N01","McLean","N01X03","Escalator - between mezzanine to grade/street","Other","2026-04-30T14:57:00","2026-05-02T23:59:59"
"2026-05-04T00:40:06Z","A04","Woodley Park-Zoo/Adams Morgan","A04X06","Escalator between middle landing and mezzanine","Other","2026-05-02T16:27:00","2026-05-04T23:59:59"
"2026-05-04T00:40:06Z","A05","Cleveland Park","A05X04","Escalator between mezzanine and middle landing","Other","2026-05-03T13:09:00","2026-05-05T23:59:59"
"2026-05-04T00:40:06Z","A07","Tenleytown-AU","A07X01","Escalator between street and middle landing, east side of Wisconsin Avenue","Minor Repair","2026-05-01T18:21:00","2026-05-03T23:59:59"
"2026-05-04T00:40:06Z","A08","Friendship Heights, Western Avenue Entrance","A08N03","Escalator between middle landing and mezzanine","Minor Repair","2026-05-02T06:17:00","2026-05-04T23:59:59"
"2026-05-04T00:40:06Z","A08","Friendship Heights, Western Avenue Entrance","A08N07","Escalator between mezzanine and platform","Minor Repair","2026-04-30T09:12:00","2026-05-02T23:59:59"
"2026-05-04T00:40:06Z","B06","Fort Totten","E06X06","Escalator between mezzanine and lower platform for Green Line","Inspection Repair","2026-04-24T11:55:00","2026-05-04T23:59:59"
"2026-05-04T00:40:06Z","B11","Glenmont","B11X03","Escalator between street and mezzanine, east side of station at bus bay/Kiss & Ride","Safety Inspection","2026-05-01T08:01:00","2026-05-03T23:59:59"
"2026-05-04T00:40:06Z","C02","McPherson Square, Franklin Square/14th St. Entrance","C02E02","Escalator between street and mezzanine","Minor Repair","2026-05-01T14:44:00","2026-05-03T23:59:59"
"2026-05-04T00:40:06Z","C02","McPherson Square, Vermont Ave./Veterans Administration Entrance","C02W01","Escalator between street and mezzanine","Inspection Repair","2026-04-12T11:56:00","2026-05-04T23:59:59"
"2026-05-04T00:40:06Z","C04","Foggy Bottom-GWU","C04X02","Escalator between street and mezzanine","Modernization","2026-04-20T02:39:00","2026-07-20T23:59:59"
"2026-05-04T00:40:06Z","C05","Rosslyn","C05X02","Escalator between mezzanine and upper platform","Modernization","2025-10-29T04:03:00","2026-05-22T23:59:59"
"2026-05-04T00:40:06Z","C05","Rosslyn","C05X03","Escalator between mezzanine and upper platform","Minor Repair","2026-05-01T15:40:00","2026-05-03T23:59:59"
"2026-05-04T00:40:06Z","C07","Pentagon","C07N11","Escalator between upper and lower platforms","Minor Repair","2026-04-30T09:44:00","2026-05-02T23:59:59"
"2026-05-04T00:40:06Z","D02","Smithsonian, The Mall Entrance","D02N04","Escalator between mezzanine and platform to Vienna/Franconia-Springfield","Walker","2026-05-03T11:45:00","2026-05-05T23:59:59"
"2026-05-04T00:40:06Z","D02","Smithsonian, The Mall Entrance","D02N05","Escalator between mezzanine and platform to Vienna/Franconia-Springfield","Minor Repair","2026-05-01T06:40:00","2026-05-03T23:59:59"
"2026-05-04T00:40:06Z","D03","L'Enfant Plaza, 7th & D St (USDOT Entrance)","D03E06","Escalator between mezzanine and platform to Blue/Orange Line (escalator closer to station entrance)","Major Repair","2026-04-27T03:44:00","2026-05-01T23:59:59"
"2026-05-04T00:40:06Z","D03","L'Enfant Plaza, 9th & D St  (L'Enfant Plaza Entrance)","D03W01","Escalator between street and mezzanine","Modernization","2026-03-02T01:06:00","2026-07-27T23:59:59"
"2026-05-04T00:40:06Z","D12","Landover","D12X02","Escalator between mezzanine and platform","Major Repair","2026-04-29T04:11:00","2026-05-01T23:59:59"
"2026-05-04T00:40:06Z","E02","Shaw-Howard U, 7th and S St. N.W. Entrance","E02N03","Escalator between mezzanine and platform","Major Repair","2026-04-28T15:16:00","2026-05-04T23:59:59"
"2026-05-04T00:40:06Z","E05","Georgia Ave-Petworth","E05X04","Escalator between street and mezzanine, west side at New Hampshire & Georgia Ave.","Inspection Repair","2026-04-30T14:26:00","2026-05-07T23:59:59"
"2026-05-04T00:40:06Z","E07","West Hyattsville","E07X02","Escalator between mezzanine and platform to Greenbelt","Major Repair","2026-02-20T13:47:00","2026-06-28T23:59:59"
"2026-05-04T00:40:06Z","E10","Greenbelt","E10X02","Escalator between mezzanine and platform","Service Call","2026-05-03T19:44:00","2026-05-05T23:59:59"
"2026-05-04T00:40:06Z","F01","Gallery Pl-Chinatown, 7th and H Street/Chinatown Entrance","F01N02","Escalator between street and middle landing","Major Repair","2026-05-02T09:34:00","2026-05-04T23:59:59"
"2026-05-04T00:40:06Z","F01","Gallery Pl-Chinatown, 7th and H Street/Chinatown Entrance","F01N03","Escalator between street and middle landing","Other","2026-05-03T20:21:00","2026-05-05T23:59:59"
"2026-05-04T00:40:06Z","F01","Gallery Pl-Chinatown, 7th and H Street/Chinatown Entrance","F01N05","Escalator between middle landing and mezzanine","Service Call","2026-05-03T20:35:00","2026-05-05T23:59:59"
"2026-05-04T00:40:06Z","G05","Largo Town Center","G05X02","Escalator between mezzanine and platform","Minor Repair","2026-05-01T13:13:00","2026-05-03T23:59:59"
"2026-05-04T00:40:06Z","G05","Largo Town Center","G05X03","Escalator between mezzanine and platform","Inspection Repair","2026-04-21T11:38:00","2026-05-04T23:59:59"
"2026-05-04T00:40:06Z","K04","Ballston-MU","K04X05","Escalator between middle landing and mezzanine","Other","2026-04-23T11:38:00","2026-05-04T23:59:59"
"2026-05-04T00:40:06Z","N01","McLean","N01X03","Escalator - between mezzanine to grade/street","Other","2026-04-30T14:57:00","2026-05-02T23:59:59"
"2026-05-04T01:37:42Z","A04","Woodley Park-Zoo/Adams Morgan","A04X06","Escalator between middle landing and mezzanine","Other","2026-05-02T16:27:00","2026-05-04T23:59:59"
"2026-05-04T01:37:42Z","A05","Cleveland Park","A05X05","Escalator between mezzanine and middle landing","Other","2026-05-03T20:58:00","2026-05-05T23:59:59"
"2026-05-04T01:37:42Z","A07","Tenleytown-AU","A07X01","Escalator between street and middle landing, east side of Wisconsin Avenue","Minor Repair","2026-05-01T18:21:00","2026-05-03T23:59:59"
"2026-05-04T01:37:42Z","A08","Friendship Heights, Western Avenue Entrance","A08N03","Escalator between middle landing and mezzanine","Minor Repair","2026-05-02T06:17:00","2026-05-04T23:59:59"
"2026-05-04T01:37:42Z","A08","Friendship Heights, Western Avenue Entrance","A08N07","Escalator between mezzanine and platform","Minor Repair","2026-04-30T09:12:00","2026-05-02T23:59:59"
"2026-05-04T01:37:42Z","B06","Fort Totten","E06X06","Escalator between mezzanine and lower platform for Green Line","Inspection Repair","2026-04-24T11:55:00","2026-05-04T23:59:59"
"2026-05-04T01:37:42Z","B11","Glenmont","B11X03","Escalator between street and mezzanine, east side of station at bus bay/Kiss & Ride","Safety Inspection","2026-05-01T08:01:00","2026-05-03T23:59:59"
"2026-05-04T01:37:42Z","C02","McPherson Square, Franklin Square/14th St. Entrance","C02E02","Escalator between street and mezzanine","Minor Repair","2026-05-01T14:44:00","2026-05-03T23:59:59"
"2026-05-04T01:37:42Z","C02","McPherson Square, Vermont Ave./Veterans Administration Entrance","C02W01","Escalator between street and mezzanine","Inspection Repair","2026-04-12T11:56:00","2026-05-04T23:59:59"
"2026-05-04T01:37:42Z","C04","Foggy Bottom-GWU","C04X02","Escalator between street and mezzanine","Modernization","2026-04-20T02:39:00","2026-07-20T23:59:59"
"2026-05-04T01:37:42Z","C05","Rosslyn","C05X02","Escalator between mezzanine and upper platform","Modernization","2025-10-29T04:03:00","2026-05-22T23:59:59"
"2026-05-04T01:37:42Z","C05","Rosslyn","C05X03","Escalator between mezzanine and upper platform","Minor Repair","2026-05-01T15:40:00","2026-05-03T23:59:59"
"2026-05-04T01:37:42Z","C07","Pentagon","C07N11","Escalator between upper and lower platforms","Minor Repair","2026-04-30T09:44:00","2026-05-02T23:59:59"
"2026-05-04T01:37:42Z","D02","Smithsonian, The Mall Entrance","D02N04","Escalator between mezzanine and platform to Vienna/Franconia-Springfield","Walker","2026-05-03T11:45:00","2026-05-05T23:59:59"
"2026-05-04T01:37:42Z","D02","Smithsonian, The Mall Entrance","D02N05","Escalator between mezzanine and platform to Vienna/Franconia-Springfield","Minor Repair","2026-05-01T06:40:00","2026-05-03T23:59:59"
"2026-05-04T01:37:42Z","D03","L'Enfant Plaza, 7th & D St (USDOT Entrance)","D03E06","Escalator between mezzanine and platform to Blue/Orange Line (escalator closer to station entrance)","Major Repair","2026-04-27T03:44:00","2026-05-01T23:59:59"
"2026-05-04T01:37:42Z","D03","L'Enfant Plaza, 9th & D St  (L'Enfant Plaza Entrance)","D03W01","Escalator between street and mezzanine","Modernization","2026-03-02T01:06:00","2026-07-27T23:59:59"
"2026-05-04T01:37:42Z","D12","Landover","D12X02","Escalator between mezzanine and platform","Major Repair","2026-04-29T04:11:00","2026-05-01T23:59:59"
"2026-05-04T01:37:42Z","E02","Shaw-Howard U, 7th and S St. N.W. Entrance","E02N03","Escalator between mezzanine and platform","Major Repair","2026-04-28T15:16:00","2026-05-04T23:59:59"
"2026-05-04T01:37:42Z","E05","Georgia Ave-Petworth","E05X04","Escalator between street and mezzanine, west side at New Hampshire & Georgia Ave.","Inspection Repair","2026-04-30T14:26:00","2026-05-07T23:59:59"
"2026-05-04T01:37:42Z","E07","West Hyattsville","E07X02","Escalator between mezzanine and platform to Greenbelt","Major Repair","2026-02-20T13:47:00","2026-06-28T23:59:59"
"2026-05-04T01:37:42Z","E10","Greenbelt","E10X02","Escalator between mezzanine and platform","Service Call","2026-05-03T19:44:00","2026-05-05T23:59:59"
"2026-05-04T01:37:42Z","F01","Gallery Pl-Chinatown, 7th and H Street/Chinatown Entrance","F01N02","Escalator between street and middle landing","Major Repair","2026-05-02T09:34:00","2026-05-04T23:59:59"
"2026-05-04T01:37:42Z","F01","Gallery Pl-Chinatown, 7th and H Street/Chinatown Entrance","F01N03","Escalator between street and middle landing","Other","2026-05-03T20:21:00","2026-05-05T23:59:59"
"2026-05-04T01:37:42Z","G05","Largo Town Center","G05X02","Escalator between mezzanine and platform","Minor Repair","2026-05-01T13:13:00","2026-05-03T23:59:59"
"2026-05-04T01:37:42Z","G05","Largo Town Center","G05X03","Escalator between mezzanine and platform","Inspection Repair","2026-04-21T11:38:00","2026-05-04T23:59:59"
"2026-05-04T01:37:42Z","K04","Ballston-MU","K04X05","Escalator between middle landing and mezzanine","Other","2026-04-23T11:38:00","2026-05-04T23:59:59"
"2026-05-04T01:37:42Z","N01","McLean","N01X03","Escalator - between mezzanine to grade/street","Other","2026-04-30T14:57:00","2026-05-02T23:59:59"
"2026-05-04T03:09:24Z","A04","Woodley Park-Zoo/Adams Morgan","A04X06","Escalator between middle landing and mezzanine","Other","2026-05-02T16:27:00","2026-05-04T23:59:59"
"2026-05-04T03:09:24Z","A05","Cleveland Park","A05X05","Escalator between mezzanine and middle landing","Other","2026-05-03T20:58:00","2026-05-05T23:59:59"
"2026-05-04T03:09:24Z","A07","Tenleytown-AU","A07X01","Escalator between street and middle landing, east side of Wisconsin Avenue","Minor Repair","2026-05-01T18:21:00","2026-05-03T23:59:59"
"2026-05-04T03:09:24Z","A08","Friendship Heights, Western Avenue Entrance","A08N03","Escalator between middle landing and mezzanine","Minor Repair","2026-05-02T06:17:00","2026-05-04T23:59:59"
"2026-05-04T03:09:24Z","A08","Friendship Heights, Western Avenue Entrance","A08N07","Escalator between mezzanine and platform","Minor Repair","2026-04-30T09:12:00","2026-05-02T23:59:59"
"2026-05-04T03:09:24Z","B02","Judiciary Square, Building Museum Entrance","B02N06","Escalator between mezzanine and platform to Shady Grove","Minor Repair","2026-05-03T22:30:00","2026-05-05T23:59:59"
"2026-05-04T03:09:24Z","B02","Judiciary Square, Building Museum Entrance","B02N07","Escalator between mezzanine and platform to Glenmont","Walker","2026-05-03T22:19:00","2026-05-05T23:59:59"
"2026-05-04T03:09:24Z","B06","Fort Totten","E06X06","Escalator between mezzanine and lower platform for Green Line","Inspection Repair","2026-04-24T11:55:00","2026-05-04T23:59:59"
"2026-05-04T03:09:24Z","B11","Glenmont","B11X03","Escalator between street and mezzanine, east side of station at bus bay/Kiss & Ride","Safety Inspection","2026-05-01T08:01:00","2026-05-03T23:59:59"
"2026-05-04T03:09:24Z","C02","McPherson Square, Franklin Square/14th St. Entrance","C02E02","Escalator between street and mezzanine","Minor Repair","2026-05-01T14:44:00","2026-05-03T23:59:59"
"2026-05-04T03:09:24Z","C02","McPherson Square, Franklin Square/14th St. Entrance","C02E04","Escalator between mezzanine and platform to New Carrollton/Largo Town Center","Service Call","2026-05-03T22:11:00","2026-05-05T23:59:59"
"2026-05-04T03:09:24Z","C02","McPherson Square, Vermont Ave./Veterans Administration Entrance","C02W01","Escalator between street and mezzanine","Inspection Repair","2026-04-12T11:56:00","2026-05-04T23:59:59"
"2026-05-04T03:09:24Z","C03","Farragut West, 17th Street Entrance","C03E07","Escalator between mezzanine and platform to Vienna/Franconia-Springfield","Inspection Repair","2026-05-03T22:54:00","2026-05-05T23:59:59"
"2026-05-04T03:09:24Z","C04","Foggy Bottom-GWU","C04X02","Escalator between street and mezzanine","Modernization","2026-04-20T02:39:00","2026-07-20T23:59:59"
"2026-05-04T03:09:24Z","C05","Rosslyn","C05X02","Escalator between mezzanine and upper platform","Modernization","2025-10-29T04:03:00","2026-05-22T23:59:59"
"2026-05-04T03:09:24Z","C05","Rosslyn","C05X03","Escalator between mezzanine and upper platform","Minor Repair","2026-05-01T15:40:00","2026-05-03T23:59:59"
"2026-05-04T03:09:24Z","C07","Pentagon","C07N11","Escalator between upper and lower platforms","Minor Repair","2026-04-30T09:44:00","2026-05-02T23:59:59"
"2026-05-04T03:09:24Z","D02","Smithsonian, The Mall Entrance","D02N01","Escalator between street and mezzanine","Preventive Maintenance Inspection","2026-05-03T21:46:00","2026-04-26T23:59:59"
"2026-05-04T03:09:24Z","D02","Smithsonian, The Mall Entrance","D02N04","Escalator between mezzanine and platform to Vienna/Franconia-Springfield","Walker","2026-05-03T11:45:00","2026-05-05T23:59:59"
"2026-05-04T03:09:24Z","D02","Smithsonian, The Mall Entrance","D02N05","Escalator between mezzanine and platform to Vienna/Franconia-Springfield","Minor Repair","2026-05-01T06:40:00","2026-05-03T23:59:59"
"2026-05-04T03:09:24Z","D03","L'Enfant Plaza, 7th & D St (USDOT Entrance)","D03E06","Escalator between mezzanine and platform to Blue/Orange Line (escalator closer to station entrance)","Major Repair","2026-04-27T03:44:00","2026-05-01T23:59:59"
"2026-05-04T03:09:24Z","D03","L'Enfant Plaza, 9th & D St  (L'Enfant Plaza Entrance)","D03W01","Escalator between street and mezzanine","Modernization","2026-03-02T01:06:00","2026-07-27T23:59:59"
"2026-05-04T03:09:24Z","D12","Landover","D12X02","Escalator between mezzanine and platform","Major Repair","2026-04-29T04:11:00","2026-05-01T23:59:59"
"2026-05-04T03:09:24Z","E02","Shaw-Howard U, 7th and S St. N.W. Entrance","E02N03","Escalator between mezzanine and platform","Major Repair","2026-04-28T15:16:00","2026-05-04T23:59:59"
"2026-05-04T03:09:24Z","E05","Georgia Ave-Petworth","E05X04","Escalator between street and mezzanine, west side at New Hampshire & Georgia Ave.","Inspection Repair","2026-04-30T14:26:00","2026-05-07T23:59:59"
"2026-05-04T03:09:24Z","E07","West Hyattsville","E07X02","Escalator between mezzanine and platform to Greenbelt","Major Repair","2026-02-20T13:47:00","2026-06-28T23:59:59"
"2026-05-04T03:09:24Z","F01","Gallery Pl-Chinatown, 7th and H Street/Chinatown Entrance","F01N02","Escalator between street and middle landing","Major Repair","2026-05-02T09:34:00","2026-05-04T23:59:59"
"2026-05-04T03:09:24Z","G05","Largo Town Center","G05X02","Escalator between mezzanine and platform","Minor Repair","2026-05-01T13:13:00","2026-05-03T23:59:59"
"2026-05-04T03:09:24Z","G05","Largo Town Center","G05X03","Escalator between mezzanine and platform","Inspection Repair","2026-04-21T11:38:00","2026-05-04T23:59:59"
"2026-05-04T03:09:24Z","K04","Ballston-MU","K04X05","Escalator between middle landing and mezzanine","Other","2026-04-23T11:38:00","2026-05-04T23:59:59"
"2026-05-04T03:09:24Z","N01","McLean","N01X03","Escalator - between mezzanine to grade/street","Other","2026-04-30T14:57:00","2026-05-02T23:59:59"
"2026-05-04T05:11:54Z","A04","Woodley Park-Zoo/Adams Morgan","A04X06","Escalator between middle landing and mezzanine","Other","2026-05-02T16:27:00","2026-05-04T23:59:59"
"2026-05-04T05:11:54Z","A05","Cleveland Park","A05X05","Escalator between mezzanine and middle landing","Other","2026-05-03T20:58:00","2026-05-05T23:59:59"
"2026-05-04T05:11:54Z","A07","Tenleytown-AU","A07X01","Escalator between street and middle landing, east side of Wisconsin Avenue","Minor Repair","2026-05-01T18:21:00","2026-05-03T23:59:59"
"2026-05-04T05:11:54Z","A08","Friendship Heights, Western Avenue Entrance","A08N03","Escalator between middle landing and mezzanine","Minor Repair","2026-05-02T06:17:00","2026-05-04T23:59:59"
"2026-05-04T05:11:54Z","A08","Friendship Heights, Western Avenue Entrance","A08N07","Escalator between mezzanine and platform","Minor Repair","2026-04-30T09:12:00","2026-05-02T23:59:59"
"2026-05-04T05:11:54Z","B02","Judiciary Square, Building Museum Entrance","B02N06","Escalator between mezzanine and platform to Shady Grove","Minor Repair","2026-05-03T22:30:00","2026-05-05T23:59:59"
"2026-05-04T05:11:54Z","B02","Judiciary Square, Building Museum Entrance","B02N07","Escalator between mezzanine and platform to Glenmont","Walker","2026-05-03T22:19:00","2026-05-05T23:59:59"
"2026-05-04T05:11:54Z","B06","Fort Totten","E06X06","Escalator between mezzanine and lower platform for Green Line","Inspection Repair","2026-04-24T11:55:00","2026-05-04T23:59:59"
"2026-05-04T05:11:54Z","B11","Glenmont","B11X03","Escalator between street and mezzanine, east side of station at bus bay/Kiss & Ride","Safety Inspection","2026-05-01T08:01:00","2026-05-03T23:59:59"
"2026-05-04T05:11:54Z","C02","McPherson Square, Franklin Square/14th St. Entrance","C02E02","Escalator between street and mezzanine","Minor Repair","2026-05-01T14:44:00","2026-05-03T23:59:59"
"2026-05-04T05:11:54Z","C02","McPherson Square, Franklin Square/14th St. Entrance","C02E04","Escalator between mezzanine and platform to New Carrollton/Largo Town Center","Service Call","2026-05-03T22:11:00","2026-05-05T23:59:59"
"2026-05-04T05:11:54Z","C02","McPherson Square, Vermont Ave./Veterans Administration Entrance","C02W01","Escalator between street and mezzanine","Inspection Repair","2026-04-12T11:56:00","2026-05-04T23:59:59"
"2026-05-04T05:11:54Z","C03","Farragut West, 17th Street Entrance","C03E07","Escalator between mezzanine and platform to Vienna/Franconia-Springfield","Inspection Repair","2026-05-03T22:54:00","2026-05-05T23:59:59"
"2026-05-04T05:11:54Z","C04","Foggy Bottom-GWU","C04X02","Escalator between street and mezzanine","Modernization","2026-04-20T02:39:00","2026-07-20T23:59:59"
"2026-05-04T05:11:54Z","C05","Rosslyn","C05X02","Escalator between mezzanine and upper platform","Modernization","2025-10-29T04:03:00","2026-05-22T23:59:59"
"2026-05-04T05:11:54Z","C07","Pentagon","C07N11","Escalator between upper and lower platforms","Minor Repair","2026-04-30T09:44:00","2026-05-02T23:59:59"
"2026-05-04T05:11:54Z","D02","Smithsonian, The Mall Entrance","D02N01","Escalator between street and mezzanine","Preventive Maintenance Inspection","2026-05-03T21:46:00","2026-04-26T23:59:59"
"2026-05-04T05:11:54Z","D02","Smithsonian, The Mall Entrance","D02N04","Escalator between mezzanine and platform to Vienna/Franconia-Springfield","Walker","2026-05-03T11:45:00","2026-05-05T23:59:59"
"2026-05-04T05:11:54Z","D02","Smithsonian, The Mall Entrance","D02N05","Escalator between mezzanine and platform to Vienna/Franconia-Springfield","Minor Repair","2026-05-01T06:40:00","2026-05-03T23:59:59"
"2026-05-04T05:11:54Z","D03","L'Enfant Plaza, 7th & D St (USDOT Entrance)","D03E06","Escalator between mezzanine and platform to Blue/Orange Line (escalator closer to station entrance)","Major Repair","2026-04-27T03:44:00","2026-05-01T23:59:59"
"2026-05-04T05:11:54Z","D03","L'Enfant Plaza, 9th & D St  (L'Enfant Plaza Entrance)","D03W01","Escalator between street and mezzanine","Modernization","2026-03-02T01:06:00","2026-07-27T23:59:59"
"2026-05-04T05:11:54Z","D03","L'Enfant Plaza, 9th & D St  (L'Enfant Plaza Entrance)","D03W08","Escalator between mezzanine and lower platform for Blue/Orange Line (escalator closer to Yellow/Green platform)","Preventive Maintenance Inspection","2026-05-04T00:26:00","2026-05-06T23:59:59"
"2026-05-04T05:11:54Z","D12","Landover","D12X02","Escalator between mezzanine and platform","Major Repair","2026-04-29T04:11:00","2026-05-01T23:59:59"
"2026-05-04T05:11:54Z","E02","Shaw-Howard U, 7th and S St. N.W. Entrance","E02N03","Escalator between mezzanine and platform","Major Repair","2026-04-28T15:16:00","2026-05-04T23:59:59"
"2026-05-04T05:11:54Z","E05","Georgia Ave-Petworth","E05X04","Escalator between street and mezzanine, west side at New Hampshire & Georgia Ave.","Inspection Repair","2026-04-30T14:26:00","2026-05-07T23:59:59"
"2026-05-04T05:11:54Z","E07","West Hyattsville","E07X02","Escalator between mezzanine and platform to Greenbelt","Major Repair","2026-02-20T13:47:00","2026-06-28T23:59:59"
"2026-05-04T05:11:54Z","F01","Gallery Pl-Chinatown, 7th and H Street/Chinatown Entrance","F01N02","Escalator between street and middle landing","Major Repair","2026-05-02T09:34:00","2026-05-04T23:59:59"
"2026-05-04T05:11:54Z","G05","Largo Town Center","G05X02","Escalator between mezzanine and platform","Minor Repair","2026-05-01T13:13:00","2026-05-03T23:59:59"
"2026-05-04T05:11:54Z","G05","Largo Town Center","G05X03","Escalator between mezzanine and platform","Inspection Repair","2026-04-21T11:38:00","2026-05-04T23:59:59"
"2026-05-04T05:11:54Z","K04","Ballston-MU","K04X05","Escalator between middle landing and mezzanine","Other","2026-04-23T11:38:00","2026-05-04T23:59:59"
"2026-05-04T05:11:54Z","N01","McLean","N01X03","Escalator - between mezzanine to grade/street","Other","2026-04-30T14:57:00","2026-05-02T23:59:59"
"2026-05-04T07:06:10Z","A04","Woodley Park-Zoo/Adams Morgan","A04X06","Escalator between middle landing and mezzanine","Other","2026-05-02T16:27:00","2026-05-04T23:59:59"
"2026-05-04T07:06:10Z","A05","Cleveland Park","A05X05","Escalator between mezzanine and middle landing","Other","2026-05-03T20:58:00","2026-05-05T23:59:59"
"2026-05-04T07:06:10Z","A07","Tenleytown-AU","A07X01","Escalator between street and middle landing, east side of Wisconsin Avenue","Minor Repair","2026-05-01T18:21:00","2026-05-03T23:59:59"
"2026-05-04T07:06:10Z","A08","Friendship Heights, Western Avenue Entrance","A08N03","Escalator between middle landing and mezzanine","Minor Repair","2026-05-02T06:17:00","2026-05-04T23:59:59"
"2026-05-04T07:06:10Z","A08","Friendship Heights, Western Avenue Entrance","A08N07","Escalator between mezzanine and platform","Minor Repair","2026-04-30T09:12:00","2026-05-02T23:59:59"
"2026-05-04T07:06:10Z","B02","Judiciary Square, Building Museum Entrance","B02N07","Escalator between mezzanine and platform to Glenmont","Walker","2026-05-03T22:19:00","2026-05-05T23:59:59"
"2026-05-04T07:06:10Z","B06","Fort Totten","E06X06","Escalator between mezzanine and lower platform for Green Line","Inspection Repair","2026-04-24T11:55:00","2026-05-04T23:59:59"
"2026-05-04T07:06:10Z","B11","Glenmont","B11X03","Escalator between street and mezzanine, east side of station at bus bay/Kiss & Ride","Safety Inspection","2026-05-01T08:01:00","2026-05-03T23:59:59"
"2026-05-04T07:06:10Z","C02","McPherson Square, Franklin Square/14th St. Entrance","C02E02","Escalator between street and mezzanine","Minor Repair","2026-05-01T14:44:00","2026-05-03T23:59:59"
"2026-05-04T07:06:10Z","C02","McPherson Square, Franklin Square/14th St. Entrance","C02E04","Escalator between mezzanine and platform to New Carrollton/Largo Town Center","Service Call","2026-05-03T22:11:00","2026-05-05T23:59:59"
"2026-05-04T07:06:10Z","C02","McPherson Square, Vermont Ave./Veterans Administration Entrance","C02W01","Escalator between street and mezzanine","Inspection Repair","2026-04-12T11:56:00","2026-05-04T23:59:59"
"2026-05-04T07:06:10Z","C03","Farragut West, 17th Street Entrance","C03E07","Escalator between mezzanine and platform to Vienna/Franconia-Springfield","Inspection Repair","2026-05-03T22:54:00","2026-05-05T23:59:59"
"2026-05-04T07:06:10Z","C04","Foggy Bottom-GWU","C04X02","Escalator between street and mezzanine","Modernization","2026-04-20T02:39:00","2026-07-20T23:59:59"
"2026-05-04T07:06:10Z","C05","Rosslyn","C05X02","Escalator between mezzanine and upper platform","Modernization","2025-10-29T04:03:00","2026-05-22T23:59:59"
"2026-05-04T07:06:10Z","C07","Pentagon","C07N11","Escalator between upper and lower platforms","Minor Repair","2026-04-30T09:44:00","2026-05-02T23:59:59"
"2026-05-04T07:06:10Z","D02","Smithsonian, The Mall Entrance","D02N04","Escalator between mezzanine and platform to Vienna/Franconia-Springfield","Walker","2026-05-03T11:45:00","2026-05-05T23:59:59"
